AP Mac,Model,Street,Street2,City,State,Zip Code,Latitude,Longitude,Region,Zone,Zone Type,SiteID
38:17:E1:E0:CE:0B,DPC3941B,613 S 7TH ST,LOWR,Philadelphia,PA,19147,39.941647,-75.153824,Freedom,South St Zone 1,Secondary,N/A
38:17:E1:E0:DE:37,DPC3941B,957 FRANKFORD AVE,,Philadelphia,PA,19125,39.96562,-75.1342,Freedom,Fishtown,Secondary,N/A
38:17:E1:E0:DE:F5,DPC3941B,8615 GERMANTOWN AVE,FL 2,Philadelphia,PA,19118,40.07707,-75.20756,Freedom,Chestnut Hill,Primary,N/A
38:17:E1:E1:1F:1E,DPC3941B,1112 PINE ST,SPC FRONT,Philadelphia,PA,19107,39.94477,-75.160355,Freedom,South St Zone 1,Secondary,N/A
38:17:E1:E1:6E:AB,DPC3941B,919 LOMBARD ST,APT A UNIT HBB,Philadelphia,PA,19147,39.943867,-75.15747,Freedom,South St Zone 1,Secondary,N/A
38:17:E1:E1:8D:CD,DPC3941B,7904 GERMANTOWN AVE,UNIT STOR OFC,Philadelphia,PA,19118,40.06955,-75.20022,Freedom,Chestnut Hill,Secondary,N/A
38:17:E1:E1:52:FE,DPC3941B,254 E GIRARD AVE,FL 1,Philadelphia,PA,19125,39.9694,-75.13199,Freedom,Fishtown,Secondary,N/A
38:17:E1:E1:68:70,DPC3941B,301 S 8TH ST,STE 2L,Philadelphia,PA,19106,39.94523,-75.15487,Freedom,South St Zone 1,Secondary,N/A
38:17:E1:E1:74:32,DPC3941B,8701 GERMANTOWN AVE,OFC,Philadelphia,PA,19118,40.07729,-75.20888,Freedom,Chestnut Hill,Secondary,N/A
38:17:E1:E5:FF:84,DPC3941B,8607 GERMANTOWN AVE,,Philadelphia,PA,19118,40.076958,-75.20737,Freedom,Chestnut Hill,Primary,N/A
38:17:E1:E6:81:2F,DPC3941B,1345 FRANKFORD AVE,,Philadelphia,PA,19125,39.97143,-75.13441,Freedom,Fishtown,Primary,N/A
38:17:E1:E6:96:33,DPC3941B,69 PEDDLERS VLG RD,,Lahaska,PA,18931,40.34688,-75.0331,Freedom,Peddlers Village,Primary,N/A
38:17:E1:E7:51:2C,DPC3941B,610 S PERCY ST,,Philadelphia,PA,19147,39.94253,-75.15771,Freedom,South St Zone 1,Primary,N/A
38:17:E1:E7:AF:8C,DPC3941B,109 W WILDEY ST,OFC,Philadelphia,PA,19123,39.967434,-75.137665,Freedom,Fishtown,Secondary,N/A
38:17:E1:E7:B3:F6,DPC3941B,901 SOUTH ST,UNIT D,Philadelphia,PA,19147,39.942844,-75.157196,Freedom,South St Zone 1,Primary,N/A
38:17:E1:E7:E7:81,DPC3941B,8039 GERMANTOWN AVE,,Philadelphia,PA,19118,40.07142,-75.20135,Freedom,Chestnut Hill,Secondary,N/A
38:17:E1:E7:E7:A9,DPC3941B,35 BETHLEHEM PIKE,STE 109A,Philadelphia,PA,19118,40.078003,-75.20873,Freedom,Chestnut Hill,Secondary,N/A
38:17:E1:E7:F6:FE,DPC3941B,300 E GIRARD AVE,FL 1,Philadelphia,PA,19125,39.96958,-75.13154,Freedom,Fishtown,Secondary,N/A
38:17:E1:E8:03:5B,DPC3941B,1202 FRANKFORD AVE,UNIT 1,Philadelphia,PA,19125,39.9692,-75.13472,Freedom,Fishtown,Primary,N/A
38:17:E1:E8:06:35,DPC3941B,758 S 9TH ST,APT 3R,Philadelphia,PA,19147,39.94012,-75.157845,Freedom,South St Zone 1,Secondary,N/A
38:17:E1:EA:91:7F,DPC3941B,3061 STREET RD,STE BARN,Lahaska,PA,18931,40.3467,-75.0316,Freedom,Peddlers Village,Primary,N/A
38:17:E1:EA:D4:E6,DPC3941B,35 PEDDLERS VLG,SPC 35,Lahaska,PA,18931,40.3472,-75.03204,Freedom,Peddlers Village,Primary,N/A
38:17:E1:ED:2D:E0,DPC3941B,1301 N HOWARD ST,,Philadelphia,PA,19122,39.970623,-75.13654,Freedom,Fishtown,Secondary,N/A
38:17:E1:EE:18:72,DPC3941B,920 PINE ST,,Philadelphia,PA,19107,39.944427,-75.15763,Freedom,South St Zone 1,Secondary,N/A
