AP Mac,Model,Street,Street 2,City,State,Zip Code,Latitude,Longitude,Region,Zone,Zone Type,Site ID
00:0D:67:7B:AA:08,AP5250,951 Pine St,,Philadelphia,PA,19147,39.944691,-75.157825,Freedom,South St Zone 1,Secondary,BIG5597
A8:9F:EC:DA:B9:D2,OG1600A,0 E Southampton Ave,,Philadelphia,PA,19118,40.074526,-75.203191,Freedom,Chestnut Hill,Primary,BIG5329
A8:9F:EC:DA:B9:DA,OG1600A,40 W Evergreen Ave,,Philadelphia,PA,19118,40.075577,-75.20845,Freedom,Chestnut Hill,Secondary,BIG5328
A8:9F:EC:FC:30:D6,OG1600A,802 South St,,Philadelphia,PA,19147,39.942524,-75.155556,Freedom,South St Zone 1,Secondary,BIG2003
A8:9F:EC:DA:C4:1A,OG1600A,200 East Girard Avenue,,Philadelphia,PA,19125,39.9689,-75.134,Freedom,Fishtown,Secondary,BIG719
A8:9F:EC:FC:26:EA,OG1600A,1016 Christian Street,,Philadelphia,PA,19147,39.939293,-75.160233,Freedom,South St Zone 1,Secondary,BIG467
A8:9F:EC:DA:AD:52,OG1600A,801 Catherine Street,,Philadelphia,PA,19147,39.939919,-75.159325,Freedom,South St Zone 1,Secondary,BIG465
A8:9F:EC:FC:22:82,OG1600A,912 Christian Street,,Philadelphia,PA,19147,39.939012,-75.158289,Freedom,South St Zone 1,Secondary,BIG464
A8:9F:EC:FC:30:B6,OG1600A,744 Bainbridge Street,,Philadelphia,PA,19147,39.941646,-75.156092,Freedom,South St Zone 1,Secondary,BIG461
A8:9F:EC:DA:B9:D6,OG1600A,8330 Anderson Street,,Philadelphia,PA,19118,40.077043,-75.201953,Freedom,Chestnut Hill,Secondary,BIG350
